target,PROPERTY: Type of test,PROPERTY: Processing method,PROPERTY: HV,PROPERTY: Calculated Young modulus (GPa),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),FORMULA,PROPERTY: Microstructure,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Elongation plastic (%)
0.4572203401673979,Unknown,Unknown,Unknown,Calculated Young modulus of the alloy is 105.1027635GPa.,Yield Strength (YS) of alloy is 1280.0MPa.,Unknown,The alloy has 4.0% elongation.,Alloy's formula is Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5340605090543407,The alloy was tested in T test.,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Calculated Young modulus of the alloy is 220.0GPa.,Yield Strength (YS) of alloy is 353.0MPa.,Ultimate tensile strength (UTS) of alloy is 635.0MPa.,The alloy has 8.0% elongation.,Alloy's formula is Co1 Cr1 Fe1 Mn1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4873302145120858,Unknown,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 321.0 in Vickers scale.,Unknown,Unknown,Unknown,Unknown,Alloy's formula is Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4300848001370302,The alloy was tested in C test.,Unknown,Hardness of the alloy is 178.0 in Vickers scale.,Calculated Young modulus of the alloy is 175.8114219GPa.,Yield Strength (YS) of alloy is 2260.0MPa.,Ultimate tensile strength (UTS) of alloy is 3140.0MPa.,The alloy has 23.0% elongation.,Alloy's formula is Al1 Co1 Cr1 Fe1 Ni1 Ti0.5.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Experimental Young modulus of the alloy is 187.0GPa.,Unknown
0.7343331999497185,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 209.0GPa.,Yield Strength (YS) of alloy is 753.0MPa.,Unknown,Unknown,Alloy's formula is Mo1 Nb1 Ta1 Ti1 V1 W1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 1000.0 Celsius.,Unknown,Unknown
0.5073574836016236,The alloy was tested in T test.,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Unknown,Yield Strength (YS) of alloy is 159.0MPa.,Ultimate tensile strength (UTS) of alloy is 410.0MPa.,The alloy has 43.0% elongation.,Alloy's formula is Al0.304 Co1 Cr1 Fe1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.6675756363179258,The alloy was tested in C test.,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Calculated Young modulus of the alloy is 136.0GPa.,Yield Strength (YS) of alloy is 160.0MPa.,Unknown,The alloy has 18.5% elongation.,Alloy's formula is Nb1 Ta1 Ti1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 1000.0 Celsius.,Unknown,Unknown
0.4205726508802933,Unknown,"Processing method of the alloy is ANNEAL.Heat treatment process for alloys. Involves heating to a specific temperature, holding, and controlled cooling. Used to relieve stresses, improve machinability, enhance mechanical properties, and alter microstructure.",Hardness of the alloy is 410.0 in Vickers scale.,Unknown,Unknown,Unknown,Unknown,Alloy's formula is Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026.,Unknown,Unknown,Unknown,Unknown
0.4806544581489066,Unknown,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 1084.0 in Vickers scale.,Unknown,Unknown,Unknown,Unknown,Alloy's formula is Al1 Co1 Cr0.091 Nb0.727 W0.212.,Unknown,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.6008497810601919,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Unknown,Yield Strength (YS) of alloy is 1100.0MPa.,Unknown,The alloy has 50.0% elongation.,Alloy's formula is Hf1 Nb0.5 O0.1 Ta0.5 Ti1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Plastic elongation of the alloy is 50.0%.
0.5179572835346796,Unknown,Unknown,Unknown,Calculated Young modulus of the alloy is 190.4548045GPa.,Unknown,Unknown,Unknown,Alloy's formula is Al0.4 Cr1 Cu1 Fe1 Ni2.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5607635345070577,Unknown,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Calculated Young modulus of the alloy is 89.0GPa.,Unknown,Unknown,Unknown,Alloy's formula is Hf1 Nb1 Ti1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Unknown,Experimental Young modulus of the alloy is 69.7GPa.,Unknown
0.4275664821336067,Unknown,Unknown,Unknown,Calculated Young modulus of the alloy is 104.6359102GPa.,Yield Strength (YS) of alloy is 571.0MPa.,Unknown,The alloy has 50.0% elongation.,Alloy's formula is Nb1 Ti1 V2 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 600.0 Celsius.,Unknown,Unknown
0.6102485435964639,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Unknown,Yield Strength (YS) of alloy is 955.0MPa.,Unknown,The alloy has 50.0% elongation.,Alloy's formula is Hf1 Nb0.5 O0.05 Ta0.5 Ti1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Plastic elongation of the alloy is 50.0%.
0.6275210981388504,Unknown,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 495.0 in Vickers scale.,Calculated Young modulus of the alloy is 162.0GPa.,Unknown,Unknown,Unknown,Alloy's formula is Cr1 Nb1 Ta1 Ti1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Unknown,Unknown,Unknown
0.9145786217555584,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 250.0GPa.,Yield Strength (YS) of alloy is 996.0MPa.,Ultimate tensile strength (UTS) of alloy is 1148.0MPa.,The alloy has 2.0% elongation.,Alloy's formula is Mo1 Nb1 Ta1 W1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4886930293179999,Unknown,Unknown,Hardness of the alloy is 579.0 in Vickers scale.,Calculated Young modulus of the alloy is 176.7009301GPa.,Unknown,Unknown,Unknown,Alloy's formula is Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.2.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.54073626541752,The alloy was tested in C test.,"Processing method of the alloy is ANNEAL.Heat treatment process for alloys. Involves heating to a specific temperature, holding, and controlled cooling. Used to relieve stresses, improve machinability, enhance mechanical properties, and alter microstructure.",Unknown,Calculated Young modulus of the alloy is 95.0GPa.,Yield Strength (YS) of alloy is 1120.0MPa.,Ultimate tensile strength (UTS) of alloy is 1376.0MPa.,The alloy has 30.0% elongation.,Alloy's formula is Hf1 Nb1 Ti1 V1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5207089963279822,The alloy was tested in C test.,"Processing method of the alloy is ANNEAL.Heat treatment process for alloys. Involves heating to a specific temperature, holding, and controlled cooling. Used to relieve stresses, improve machinability, enhance mechanical properties, and alter microstructure.",Hardness of the alloy is 275.0 in Vickers scale.,Unknown,Yield Strength (YS) of alloy is 620.0MPa.,Unknown,The alloy has 75.0% elongation.,Alloy's formula is Co1 Cr1 Fe1 Mn1 Ni1 V0.5.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4982986712742096,The alloy was tested in C test.,Unknown,Unknown,Calculated Young modulus of the alloy is 161.2548363GPa.,Yield Strength (YS) of alloy is 1645.0MPa.,Unknown,The alloy has 15.0% elongation.,Alloy's formula is Mo1.7 Nb1 Ti1 V1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5607635345070577,The alloy was tested in T test.,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Calculated Young modulus of the alloy is 202.0GPa.,Yield Strength (YS) of alloy is 231.0MPa.,Ultimate tensile strength (UTS) of alloy is 653.0MPa.,The alloy has 62.5% elongation.,Alloy's formula is Co1 Mn1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5457459751616214,The alloy was tested in T test.,Unknown,Unknown,Calculated Young modulus of the alloy is 225.7139231GPa.,Yield Strength (YS) of alloy is 274.0MPa.,Ultimate tensile strength (UTS) of alloy is 708.0MPa.,The alloy has 39.0% elongation.,Alloy's formula is Co1 Cr1 Fe1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4873302145120858,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 142.0GPa.,Yield Strength (YS) of alloy is 1776.0MPa.,Ultimate tensile strength (UTS) of alloy is 3893.0MPa.,The alloy has 30.0% elongation.,Alloy's formula is Mo1 Nb1 Ti1 V0.25 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.592191923138161,The alloy was tested in C test.,Unknown,Unknown,Calculated Young modulus of the alloy is 204.5271493GPa.,Yield Strength (YS) of alloy is 107.0MPa.,Unknown,The alloy has 42.4% elongation.,Alloy's formula is Co1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.547175151191512,Unknown,Unknown,Hardness of the alloy is 134.0 in Vickers scale.,Calculated Young modulus of the alloy is 207.5263345GPa.,Unknown,Unknown,Unknown,Alloy's formula is Co1 Cr1 Cu1 Fe1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.431141526707148,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 100.1988131GPa.,Yield Strength (YS) of alloy is 1051.0MPa.,Unknown,The alloy has 50.0% elongation.,Alloy's formula is Nb1 Ti1 V1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Plastic elongation of the alloy is 50.0%.
0.3738423563380385,The alloy was tested in C test.,Unknown,Unknown,Unknown,Yield Strength (YS) of alloy is 1480.0MPa.,Unknown,The alloy has 50.0% elongation.,Alloy's formula is Al1 Nb1 Ti1 V1 Zr0.5.,Unknown,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.526514069437251,The alloy was tested in C test.,Unknown,Hardness of the alloy is 138.0 in Vickers scale.,Calculated Young modulus of the alloy is 191.8170678GPa.,Yield Strength (YS) of alloy is 158.0MPa.,Unknown,Unknown,Alloy's formula is Al0.25 Co1 Fe1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4075594193569442,The alloy was tested in C test.,Unknown,Hardness of the alloy is 516.0 in Vickers scale.,Calculated Young modulus of the alloy is 136.9184166GPa.,Yield Strength (YS) of alloy is 1070.0MPa.,Unknown,The alloy has 8.2% elongation.,Alloy's formula is Al1 Cu1 Fe1 Ni1 Ti1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Experimental Young modulus of the alloy is 146.0GPa.,Unknown
0.5340605090543407,The alloy was tested in T test.,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Unknown,Yield Strength (YS) of alloy is 290.65MPa.,Ultimate tensile strength (UTS) of alloy is 619.0MPa.,Unknown,Alloy's formula is Co1 Cr1 Fe1 Mn1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4205726508802933,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 156.0GPa.,Yield Strength (YS) of alloy is 116.0MPa.,Unknown,Unknown,Alloy's formula is Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 1000.0 Celsius.,Unknown,Unknown
0.5140332399648029,The alloy was tested in T test.,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Calculated Young modulus of the alloy is 212.0GPa.,Yield Strength (YS) of alloy is 476.0MPa.,Ultimate tensile strength (UTS) of alloy is 947.0MPa.,The alloy has 69.4% elongation.,Alloy's formula is Co0.25 Cr0.25 Fe1 Mn1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4554777445860729,The alloy was tested in C test.,Unknown,Unknown,Calculated Young modulus of the alloy is 122.3241237GPa.,Yield Strength (YS) of alloy is 1473.0MPa.,Unknown,The alloy has 32.0% elongation.,Alloy's formula is Mo0.5 Nb1 Ti1 V1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.4606271890593689,The alloy was tested in C test.,Unknown,Unknown,Unknown,Yield Strength (YS) of alloy is 1100.0MPa.,Unknown,Unknown,Alloy's formula is Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5.,Unknown,Alloy as tested at 25.0 Celsius.,Unknown,Plastic elongation of the alloy is 10.0%.
0.8262027586904941,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 535.5 in Vickers scale.,Calculated Young modulus of the alloy is 229.2405322GPa.,Yield Strength (YS) of alloy is 1246.0MPa.,Unknown,The alloy has 1.7% elongation.,Alloy's formula is Mo1 Nb1 Ta1 V1 W1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Plastic elongation of the alloy is 1.7%.
0.5073574836016236,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 210.0GPa.,Unknown,Unknown,The alloy has 87.0% elongation.,Alloy's formula is Al0.304 Co1 Cr1 Fe1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.519634549162871,The alloy was tested in C test.,"Processing method of the alloy is ANNEAL.Heat treatment process for alloys. Involves heating to a specific temperature, holding, and controlled cooling. Used to relieve stresses, improve machinability, enhance mechanical properties, and alter microstructure.",Unknown,Calculated Young modulus of the alloy is 196.765211GPa.,Unknown,Unknown,Unknown,Alloy's formula is Al8 Co20 Cr18 Fe9 Nb4 Ni41.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Unknown,Unknown,Unknown
0.5041149278108107,Unknown,Unknown,Hardness of the alloy is 487.0 in Vickers scale.,Calculated Young modulus of the alloy is 200.778353GPa.,Unknown,Unknown,Unknown,Alloy's formula is Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.3669173179529568,The alloy was tested in C test.,"Processing method of the alloy is ANNEAL.Heat treatment process for alloys. Involves heating to a specific temperature, holding, and controlled cooling. Used to relieve stresses, improve machinability, enhance mechanical properties, and alter microstructure.",Hardness of the alloy is 443.5 in Vickers scale.,Calculated Young modulus of the alloy is 103.9545112GPa.,Yield Strength (YS) of alloy is 1020.0MPa.,Unknown,The alloy has 5.0% elongation.,Alloy's formula is Al1 Nb1 Ti1 V1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Plastic elongation of the alloy is 5.0%.
0.4072211381539347,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 516.0 in Vickers scale.,Calculated Young modulus of the alloy is 137.0GPa.,Yield Strength (YS) of alloy is 1074.0MPa.,Ultimate tensile strength (UTS) of alloy is 1617.0MPa.,Unknown,Alloy's formula is Al1 Cu1 Fe1 Ni1 Ti1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Experimental Young modulus of the alloy is 146.0GPa.,Plastic elongation of the alloy is 8.0%.
0.5088047625470745,Unknown,Unknown,Hardness of the alloy is 225.0 in Vickers scale.,Calculated Young modulus of the alloy is 188.9516251GPa.,Unknown,Unknown,Unknown,Alloy's formula is Al0.5 Co1 Cr1 Cu1 Fe1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
