FORMULA,Process Method,Process Condition,Measurement Method,Measuremet T (Â°C),Measuremet P (MPa),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Grain Size (Î¼m),Structure: BCC/FCC/other,Structure: Microstructure,Structure: Grain Boundary Characteristics,Structure: Defect Density (1/m^3),Structure: Thickness (nm),Position: X,Position: Y,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Fatigue Strength (MPa),Mechanics: Specific strength (Mpa/ (g/cm^3)),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Shear Modulus (GPa),Mechanics: Bulk Modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Mechanics: Friction Coefficient,Mechanics: Fracture Toughness (MPa/m^2),Mechanics: Poisson's Ratio,Mechanics: Speed of Sound (m/s),Thermo: Melting Point (Â°C),Thermo: Phase Transition Temperature (Â°C),Thermo: Specific Heat Capacity (J/(kgÂ·K)),Thermo: Binding Energy (kJ/mol),Thermo: Mixing Entropy (J/(molÂ·K)),Thermo: Mixing Enthalpy (kJ/mol),Thermo: Cohesive Energy (kJ/mol),Thermo: Thermal Expansion Coefficient (1/K),Thermo: Thermal Conductivity (W/(mÂ·K)),Magnetics: Magnetization (A/m),Magnetics: Saturation Magnetization (AÂ·m^2/kg),Magnetics: Coercivity (A/m),Magnetics: Magnetic Permeability (H/m),Magnetics: Curie Temperature (Â°C),Magnetics: Magnetic Hysteresis Loss (J/m^3),Thermoelectricity: Seebeck Coefficient (Î¼V/K),Thermoelectricity: Electrical Conductivity (S/m),Thermoelectricity: Thermal Conductivity (W/mÂ·K),Thermoelectricity: Figure of Merit,Electricity: Electrical Resistivity (Î©Â·m),Electricity: Dielectric Constant,Electricity: Dielectric Breakdown Strength (V/m),Electricity: Conductivity (S/m),Electricity: Capacitance (F),Electricity: Band Gap (eV),Electricity: Electron Mobility (cmÂ²/VÂ·s),Piezoelectricity: Piezoelectric Coefficient (m/V),Piezoelectricity: Electromechanical Coupling Coefficient,Piezoelectricity: Piezoelectric Strain Constant (m/V),Piezoelectricity: Piezoelectric Modulus (Pa),Piezoelectricity: Mechanical Quality Factor,Optics: Refractive Index,Optics: Optical Band Gap (eV),Optics: Transmittance (%),Optics: Absorption Coefficient (cm?»Â?,Optics: Abbe Number,Electrochemistry: Open Circuit Potential (V),Electrochemistry: Electrochemical Impedance (Î©),Electrochemistry: Charge Transfer Resistance (Î©),Electrochemistry: Exchange Current Density (A/mÂ²),Electrochemistry: Passivation Potential (V),Electrochemistry: Critical Pitting Temperature (Â°C),Electrochemistry: Corrosion Rate (mm/year),Electrochemistry: Corrosion Resistance Index,Electrochemistry: Corrosion Current Density (A/mÂ²),Others: DOI,Others: Reference,Others: Details,appendix_1,appendix_2(hardness+-deviation),appendix_3(Exp. Young modulus+-deviation),Unnamed: 82
Ag1Al1Nb1Ti1Zn1,ANNEAL,,,,,,6.7,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2018.12.020,,,,,,
Al0.053Cu1Mn1Ni1,CAST,,C,25.0,,,8.3,,FCC,FCC,,,,,,166.0,330.0,,,,,173.0,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2015.07.285,,,,166,,
Al0.055Nb0.05Ti0.31V0.30Zr0.285,CAST,,C,25.0,,5.622,5.720607597,,other,BCC+Sec.,,,,,,,1275.5,,,,,98.25462248,,,8.15,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.05Cr0.5Fe1Mn0.625Ni0.375,CAST,,C,25.0,,,7.6,,other,FCC+BCC,,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.08.093,,,,,,
Al0.05Cr0.5Fe1Mn0.625Ni0.375,CAST,,C,400.0,,,7.6,,other,FCC+BCC,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.08.093,,,,,,
Al0.05Cr0.5Fe1Mn0.625Ni0.375,CAST,,C,600.0,,,7.6,,other,FCC+BCC,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.08.093,,,,,,
Al0.05Mo0.17Ti0.35V0.295Zr0.16,CAST,,C,25.0,,6.09,6.089263178,,other,BCC+Sec.,,,,,,,1460.0,,,,,138.6725433,,,18.2,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.108Co0.514Cr0.514Cu0.108Fe0.514Ni1,WROUGHT,,T,25.0,,,8.0,,FCC,FCC,,,,,,,719.0,1048.0,,131.0,,209.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2017.04.111,,,,,,
Al0.108Co0.514Cr0.514Cu0.108Fe0.514Ni1,WROUGHT,,T,25.0,,,8.0,,other,FCC+L12,,,,,,,460.0,732.0,,91.5,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2017.04.111,,,,,,
Al0.10CoCrFeMnNi,,,,25.0,,7.9,7.879317948,,FCC,FCC,,,,,,180.0,,,,,,215.7108266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,FCC,,180,0,
Al0.111Cu1Mn1Ni1,CAST,,C,25.0,,,8.1,,other,FCC+Sec.,,,,,,241.0,515.0,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2015.07.285,,,,241,,
Al0.125Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,CAST,,C,25.0,,,7.2,,other,FCC+BCC,,,,,,,1862.0,2431.0,,337.6388889,164.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2006.11.049,,,,,164,
Al0.125CrMoNbTa0.125TiV0.25Zr0.5,ANNEAL,,C,25.0,,7.78,7.494498527,,other,BCC+Laves,,,,,,,1699.819,,,,,171.9145677,,,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.125CrMoNbTa0.25TiV0.125Zr0.5,ANNEAL,,C,25.0,,7.51,7.771599138,,other,BCC+Laves,,,,,,,1420.638,,,,,173.2076658,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,facture before yield,,,,
Al0.125CrMoNbTa0.375TiZr0.5,ANNEAL,,C,25.0,,8.06,8.04522285,,other,BCC+Laves,,,,,,,1763.429,,,,,174.4845389,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.125CrMoNbTiV0.375Zr0.5,ANNEAL,,C,25.0,,7.22,7.213854323,,other,BCC+Laves,,,,,,,1664.479,,,,,170.6049333,,,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.133Co1Cr0.667Fe0.667Ni1Ti0.333,ANNEAL,,,25.0,,,7.6,,FCC,FCC,,,,,,487.0,,,,,,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2011.06.041,,,,487,,
Al0.133Co1Cr0.667Fe0.667Ni1Ti0.667,ANNEAL,,,25.0,,,7.2,,other,FCC+Sec.,,,,,,717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2011.06.041,,,,717,,
Al0.143Cr0.343Fe1Mn0.8Ni0.571,CAST,,T,25.0,,,7.5,,FCC,FCC,,,,,,,280.0,556.0,,74.13333333,,204.0,,,48.0,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.05.056,,,,,,
Al0.143Cr0.343Fe1Mn0.8Ni0.571,CAST,,T,25.0,,,7.5,,FCC,FCC,,,,,,,1253.0,1392.0,,185.6,,204.0,,,6.78,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.05.056,,,,,,
Al0.15Cr0.5Cu0.25Fe0.5Ni1,WROUGHT,,T,25.0,,,7.8,,FCC,FCC,,,,,,107.0,62.0,169.0,,21.66666667,16.6,200.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matchar.2019.109792,,,,107,16.6,
Al0.15Cr0.5Cu0.25Fe0.5Ni1,WROUGHT,,T,25.0,,,7.8,,other,FCC+L12,,,,,,209.0,350.0,642.0,,82.30769231,47.0,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matchar.2019.109792,,,,209,47,
Al0.15Cr0.5Cu0.25Fe0.5Ni1,WROUGHT,,T,25.0,,,7.8,,other,FCC+L12+Sec.,,,,,,321.0,535.0,904.0,,115.8974359,35.2,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matchar.2019.109792,,,,321,35.2,
Al0.15Cr0.5Cu0.25Fe0.5Ni1,WROUGHT,,T,25.0,,,7.8,,other,FCC+L12+Sec.,,,,,,159.0,255.0,584.0,,74.87179487,51.4,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matchar.2019.109792,,,,159,51.4,
Al0.15Cr0.5Fe1Mn0.625Ni0.375,CAST,,C,25.0,,,7.4,,other,FCC+BCC,,,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.08.093,,,,,,
Al0.15Cr0.5Fe1Mn0.625Ni0.375,CAST,,C,400.0,,,7.4,,other,FCC+BCC,,,,,,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.08.093,,,,,,
Al0.15Cr0.5Fe1Mn0.625Ni0.375,CAST,,C,600.0,,,7.4,,other,FCC+BCC,,,,,,,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.08.093,,,,,,
Al0.15Hf0.15Nb0.3Ti0.4,ANNEAL,,C,25.0,,7.07,7.062829579,,other,Other,,,,,,,830.0,,,,,99.54532257,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,Elongation>50,,,
Al0.167Co1Cr1Fe1Ni1Ti0.083,ANNEAL,,T,25.0,,,7.8,,FCC,FCC,,,,,,,210.0,503.0,,64.48717949,,214.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2015.08.076,,,,,,
Al0.167Co1Cr1Fe1Ni1Ti0.083,WROUGHT,,T,25.0,,,7.8,,other,FCC+L12+Sec.,,,,,,,645.0,1094.0,,140.2564103,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2015.08.076,,,,,,
Al0.167Co1Cr1Fe1Ni1Ti0.083,WROUGHT,,T,25.0,,,7.8,,other,FCC+L12+Sec.,,,,,,,1005.0,1273.0,,163.2051282,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2015.08.076,,,,,,
Al0.186Cr0.149Fe1Mn0.861Ni0.28,CAST,,T,25.0,,,7.3,,other,,,,,,,,159.0,535.0,,73.28767123,,,,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.01.083,,,,,,
Al0.186Cr0.149Fe1Mn0.861Ni0.28,ANNEAL,,T,25.0,,,7.3,,other,,,,,,,,409.0,584.0,,80.0,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.01.083,,,,,,
Al0.186Cr0.149Fe1Mn0.861Ni0.28,CAST,,T,25.0,,,7.3,,other,,,,,,,,355.0,1174.0,,160.8219178,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.01.083,,,,,,
Al0.186Cr0.149Fe1Mn0.861Ni0.28,ANNEAL,,T,25.0,,,7.3,,other,,,,,,,,954.0,978.0,,133.9726027,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.01.083,,,,,,
Al0.195Mo0.07Nb0.215Ti0.185V0.24Zr0.095,CAST,,C,25.0,,5.97,6.029984581,,other,Other,,,,,,,1209.0,,,,,114.4923257,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 650℃/50h,,C,,,,7.756700612,,other,Other,,,,,,430.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,430,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 700℃/50h,,C,,,,7.756700612,,other,Other,,,,,,447.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,447,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,23.0,,,7.756700612,,other,Other,,,,,,489.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,489,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,400.0,,,7.756700612,,other,Other,,,,,,445.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,445,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,500.0,,,7.756700612,,other,Other,,,,,,391.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,391,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,700.0,,,7.756700612,,other,Other,,,,,,355.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,355,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,800.0,,,7.756700612,,other,Other,,,,,,345.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,345,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,900.0,,,7.756700612,,other,Other,,,,,,282.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,282,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 750℃/50h,,C,1000.0,,,7.756700612,,other,Other,,,,,,223.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,223,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 800℃/50h,,C,,,,7.756700612,,other,Other,,,,,,479.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,,,479,,
Al0.1Co1.5CrFeNi1.5Ti0.4,VAM + 1150℃/6h/WQ + 900℃/50h,,C,,,,7.756700612,,other,FCC+Sec.,,,,,,386.0,,,,,,206.3776669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_6_element,FCC + γ',,386,,
Al0.1Co1Cr1Fe1Mn1Ni1,CAST,,C,25.0,,,7.9,,other,FCC+BCC,,,,,,432.0,1631.0,,,,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2018.10.168,,,,432,,
Al0.1Co1Cr1Fe1Mn1Ni1,CAST,,,25.0,,,7.9,,FCC,FCC,,,,,,180.0,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2013.09.037,,,,180,,
Al0.1Co1Cr1Fe1Ni1,WROUGHT,,T,25.0,,,8.0,,FCC,FCC,,,,,,,1198.0,,,,,220.0,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2018.12.012,,,,,,
Al0.1Co1Cr1Fe1Ni1,WROUGHT,,T,25.0,,,8.0,,FCC,FCC,,,,,,,1403.0,,,,,220.0,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2018.12.012,,,,,,
Al0.1Co1Cr1Fe1Ni1,WROUGHT,,T,25.0,,,8.0,,FCC,FCC,,,,,,,711.0,928.0,,116.0,,220.0,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2018.12.012,,,,,,
Al0.1Co1Cr1Fe1Ni1,WROUGHT,,T,25.0,,,8.0,,FCC,FCC,,,,,,,356.0,,,,,220.0,,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2018.12.012,,,,,,
Al0.1CoCrFeNi,VAM + 700℃/800h/WQ,,C,,,,7.983409687,,other,FCC+Sec.,,,,,,,,,,,,220.2655703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + σ,,,,
Al0.1CoCrFeNi,VAM ,,C,23.0,,,7.983409687,,other,Other,,,,,,,199.0,531.0,,66.5129338,,220.2655703,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC (GS 155μm),,,,
Al0.1CoCrFeNi,"VAM + CR62.5% + Annealed, 800℃/1h",,C,23.0,,,7.983409687,,other,Other,,,,,,,366.0,715.0,,89.56073007,,220.2655703,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC (GS 8μm),,,,
Al0.1Cr0.5Cu0.5Fe0.5Ni1,,,,25.0,,,8.0,,FCC,FCC,,,,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1063/1.3587228,,,,,,
Al0.20CoCrFeMnNi,,,T,25.0,,7.7,7.739021059,,FCC,FCC,,,,,,171.0,220.0,,,,,211.7652315,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,FCC,,171,0,
